,name,team,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,season,week,next_fp,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
99,Cecil Shorts,Jaguars,7.0,5.0,119.0,0.0,0.0,0.0,0.0,11.9,2014,10,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
100,Allen Robinson,Jaguars,7.0,5.0,113.0,0.0,0.0,0.0,0.0,11.3,2015,11,11.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
101,Allen Robinson,Jaguars,11.0,5.0,56.0,1.0,0.0,0.0,0.0,11.6,2015,12,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
102,Allen Robinson,Jaguars,15.0,10.0,153.0,3.0,0.0,0.0,0.0,33.3,2015,13,6.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
103,Allen Robinson,Jaguars,5.0,3.0,57.0,1.0,0.0,0.0,0.0,11.7,2015,15,21.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
104,Allen Robinson,Jaguars,9.0,6.0,151.0,1.0,0.0,0.0,0.0,21.1,2015,16,10.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
105,Alshon Jeffery,Bears,6.0,5.0,71.0,0.0,0.0,0.0,0.0,7.1,2014,1,4.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
106,Brandon Marshall,Bears,12.0,8.0,71.0,1.0,0.0,0.0,0.0,13.1,2014,1,22.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
107,Alshon Jeffery,Bears,6.0,3.0,47.0,0.0,0.0,0.0,0.0,4.7,2014,2,11.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
108,Brandon Marshall,Bears,8.0,5.0,48.0,3.0,0.0,0.0,0.0,22.8,2014,2,7.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
109,Alshon Jeffery,Bears,13.0,8.0,105.0,0.0,2.0,13.0,0.0,11.8,2014,3,11.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
110,Alshon Jeffery,Bears,7.0,4.0,39.0,1.0,1.0,12.0,0.0,11.1,2014,4,15.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
111,Brandon Marshall,Bears,6.0,2.0,19.0,1.0,0.0,0.0,0.0,7.9,2014,4,11.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
112,Alshon Jeffery,Bears,7.0,6.0,97.0,1.0,0.0,0.0,0.0,15.7,2014,5,13.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
113,Alshon Jeffery,Bears,7.0,5.0,136.0,0.0,2.0,0.0,0.0,13.6,2014,6,11.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
114,Brandon Marshall,Bears,9.0,6.0,113.0,0.0,0.0,0.0,0.0,11.3,2014,6,17.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
115,Alshon Jeffery,Bears,8.0,5.0,59.0,1.0,0.0,0.0,0.0,11.9,2014,8,7.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
116,Alshon Jeffery,Bears,12.0,6.0,63.0,0.0,1.0,8.0,0.0,7.1,2014,10,19.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
117,Brandon Marshall,Bears,10.0,8.0,112.0,1.0,0.0,0.0,0.0,17.2,2014,10,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
118,Alshon Jeffery,Bears,17.0,11.0,135.0,1.0,0.0,0.0,0.0,19.5,2014,11,8.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
119,Brandon Marshall,Bears,10.0,7.0,90.0,2.0,0.0,0.0,0.0,21.0,2014,11,6.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
120,Alshon Jeffery,Bears,4.0,3.0,22.0,1.0,0.0,0.0,0.0,8.2,2014,12,19.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
121,Alshon Jeffery,Bears,13.0,9.0,71.0,2.0,0.0,0.0,0.0,19.1,2014,13,15.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
122,Alshon Jeffery,Bears,9.0,6.0,95.0,1.0,0.0,0.0,0.0,15.5,2014,14,13.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
123,Brandon Marshall,Bears,4.0,3.0,61.0,0.0,0.0,0.0,0.0,6.1,2014,14,12.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
124,Alshon Jeffery,Bears,9.0,4.0,78.0,1.0,0.0,0.0,0.0,13.8,2014,15,13.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
125,Marquess Wilson,Bears,5.0,3.0,16.0,1.0,0.0,0.0,0.0,7.6,2014,15,6.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
126,Alshon Jeffery,Bears,15.0,6.0,72.0,1.0,0.0,0.0,0.0,13.2,2014,16,7.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
127,Marquess Wilson,Bears,10.0,7.0,66.0,0.0,0.0,0.0,0.0,6.6,2014,16,5.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
128,Alshon Jeffery,Bears,11.0,5.0,78.0,0.0,0.0,0.0,0.0,7.8,2015,1,20.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
129,Marquess Wilson,Bears,2.0,2.0,59.0,0.0,0.0,0.0,0.0,5.9,2015,1,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
130,Alshon Jeffery,Bears,11.0,8.0,147.0,1.0,0.0,0.0,0.0,20.7,2015,6,17.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
131,Alshon Jeffery,Bears,15.0,10.0,116.0,1.0,0.0,0.0,0.0,17.6,2015,8,15.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
132,Alshon Jeffery,Bears,16.0,10.0,151.0,0.0,0.0,0.0,0.0,15.1,2015,9,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
133,Alshon Jeffery,Bears,11.0,7.0,90.0,0.0,0.0,0.0,0.0,9.0,2015,12,8.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
134,Alshon Jeffery,Bears,12.0,4.0,85.0,0.0,0.0,0.0,0.0,8.5,2015,13,16.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0
