,name,team,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,rush_att,rush_yd,rush_td,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
2809,Jason Witten,Cowboys,8.0,5.0,70.0,1.0,13.0,2014,8,6.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2810,James Hanna,Cowboys,1.0,1.0,27.0,0.0,2.7,2014,12,1.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2811,Jason Witten,Cowboys,6.0,4.0,30.0,1.0,9.0,2014,12,0.8,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2812,James Hanna,Cowboys,1.0,1.0,12.0,0.0,1.2,2014,15,0.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2813,Jason Witten,Cowboys,9.0,7.0,69.0,0.0,6.9,2014,15,15.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2814,James Hanna,Cowboys,2.0,1.0,2.0,0.0,0.2,2014,17,0.7,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2815,Jason Witten,Cowboys,6.0,4.0,49.0,0.0,4.9,2014,17,18.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2816,James Hanna,Cowboys,1.0,1.0,7.0,0.0,0.7,2015,4,0.6,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2817,Jason Witten,Cowboys,6.0,4.0,57.0,0.0,5.7,2015,4,3.3,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2818,James Hanna,Cowboys,1.0,1.0,6.0,0.0,0.6,2015,7,1.1,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2819,Jason Witten,Cowboys,8.0,6.0,73.0,0.0,7.3,2015,7,1.6,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2820,James Hanna,Cowboys,1.0,1.0,11.0,0.0,1.1,2015,13,1.7,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2821,Jason Witten,Cowboys,9.0,5.0,45.0,0.0,4.5,2015,13,4.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2822,James Hanna,Cowboys,1.0,1.0,17.0,0.0,1.7,2015,15,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2823,Jason Witten,Cowboys,5.0,5.0,49.0,0.0,4.9,2015,15,1.2,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2824,James Hanna,Cowboys,4.0,1.0,10.0,0.0,1.0,2015,16,2.8,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2825,Jason Witten,Cowboys,2.0,1.0,12.0,0.0,1.2,2015,16,11.8,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2826,James O'Shaughnessy,Chiefs,2.0,2.0,54.0,0.0,5.4,2015,2,0.8,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
2827,Travis Kelce,Chiefs,5.0,4.0,58.0,0.0,5.8,2015,2,8.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
2828,James O'Shaughnessy,Chiefs,1.0,1.0,8.0,0.0,0.8,2015,4,2.3,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
2829,Travis Kelce,Chiefs,7.0,5.0,49.0,0.0,4.9,2015,4,3.5,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
2830,Jared Cook,Rams,8.0,4.0,56.0,0.0,5.6,2014,1,4.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2831,Lance Kendricks,Rams,3.0,2.0,12.0,0.0,1.2,2014,1,2.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2832,Jared Cook,Rams,9.0,7.0,75.0,0.0,7.5,2014,3,4.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2833,Lance Kendricks,Rams,7.0,6.0,29.0,1.0,8.9,2014,3,2.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2834,Jared Cook,Rams,10.0,4.0,44.0,0.0,4.4,2014,5,7.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2835,Lance Kendricks,Rams,1.0,1.0,22.0,0.0,2.2,2014,5,8.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2836,Jared Cook,Rams,11.0,4.0,74.0,0.0,7.4,2014,6,2.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2837,Lance Kendricks,Rams,2.0,1.0,22.0,1.0,8.2,2014,6,7.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2838,Jared Cook,Rams,3.0,1.0,11.0,0.0,1.1,2014,8,1.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2839,Lance Kendricks,Rams,1.0,1.0,1.0,1.0,6.1,2014,8,0.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2840,Jared Cook,Rams,3.0,2.0,84.0,1.0,14.4,2014,10,1.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2841,Lance Kendricks,Rams,2.0,2.0,30.0,0.0,3.0,2014,10,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2842,Jared Cook,Rams,5.0,3.0,19.0,0.0,1.9,2014,11,2.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2843,Lance Kendricks,Rams,3.0,2.0,5.0,0.0,0.5,2014,11,1.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2844,Jared Cook,Rams,9.0,3.0,27.0,0.0,2.7,2014,12,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2845,Lance Kendricks,Rams,2.0,1.0,16.0,0.0,1.6,2014,12,1.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2846,Jared Cook,Rams,5.0,4.0,61.0,2.0,18.1,2014,14,2.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2847,Lance Kendricks,Rams,1.0,1.0,11.0,0.0,1.1,2014,14,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2848,Jared Cook,Rams,7.0,5.0,41.0,0.0,4.1,2014,16,3.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
2849,Lance Kendricks,Rams,2.0,2.0,35.0,1.0,9.5,2014,16,1.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0
