,name,team,g,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp,rush_att,rush_yd,rush_td
1614,Ben Watson,BAL,1,6,5,40,0,4.0,4.0,2017,16,6.1,,,
1658,Ben Watson,BAL,1,10,7,61,0,6.1,6.1,2017,17,,,,
98,Blake Bell,SF,1,2,1,6,0,0.6,0.6,2016,2,0.4,,,
238,Blake Bell,SF,1,2,1,4,0,0.4,0.4,2016,5,3.0,,,
671,Blake Bell,SF,1,2,1,30,0,3.0,3.0,2016,14,4.5,,,
716,Blake Bell,SF,1,1,1,45,0,4.5,4.5,2016,15,1.2,,,
1043,Blake Bell,MIN,1,1,1,12,0,1.2,1.2,2017,4,0.7,,,
1544,Blake Bell,MIN,1,2,2,7,0,0.7,0.7,2017,14,,,,
231,Brandon Bostick,NYJ,1,1,1,9,0,0.9,0.9,2016,5,0.0,,,
349,Brandon Bostick,NYJ,1,1,0,0,0,0.0,0.0,2016,7,0.4,,,
395,Brandon Bostick,NYJ,1,1,1,4,0,0.4,0.4,2016,8,1.4,,,
586,Brandon Bostick,NYJ,1,2,2,14,0,1.4,1.4,2016,12,1.2,,,
638,Brandon Bostick,NYJ,1,1,1,12,0,1.2,1.2,2016,13,1.7,,,
683,Brandon Bostick,NYJ,1,2,2,17,0,1.7,1.7,2016,14,0.7,,,
842,Brandon Bostick,NYJ,1,1,1,7,0,0.7,0.7,2016,17,,,,
11,Brandon Myers,TB,1,1,1,4,1,6.4,6.4,2016,1,0.7,,,
144,Brandon Myers,TB,1,3,1,7,0,0.7,0.7,2016,3,1.2,,,
229,Brandon Myers,TB,1,1,1,12,0,1.2,1.2,2016,5,0.0,,,
448,Brandon Myers,TB,1,0,0,0,0,0.0,0.0,2016,9,0.6,,,
493,Brandon Myers,TB,1,1,1,6,0,0.6,0.6,2016,10,0.9,,,
696,Brandon Myers,TB,1,1,1,9,0,0.9,0.9,2016,14,2.1,,,
787,Brandon Myers,TB,1,6,2,21,0,2.1,2.1,2016,16,,,,
433,Brandon Williams,SEA,1,2,1,16,0,1.6,1.6,2016,9,2.0,,,
830,Brandon Williams,SEA,1,1,1,20,0,2.0,2.0,2016,17,2.0,,,
936,Brandon Williams,IND,1,1,1,20,0,2.0,2.0,2017,2,0.7,,,
994,Brandon Williams,IND,1,1,1,7,0,0.7,0.7,2017,3,3.2,,,
1029,Brandon Williams,IND,1,2,1,32,0,3.2,3.2,2017,4,1.7,,,
1085,Brandon Williams,IND,1,3,3,17,0,1.7,1.7,2017,5,2.0,,,
1279,Brandon Williams,IND,1,2,2,20,0,2.0,2.0,2017,9,0.8,,,
1543,Brandon Williams,IND,1,3,2,8,0,0.8,0.8,2017,14,,,,
40,Brent Celek,PHI,1,1,1,11,0,1.1,1.1,2016,1,6.1,,,
113,Brent Celek,PHI,1,4,3,61,0,6.1,6.1,2016,3,0.7,,,
337,Brent Celek,PHI,1,2,1,7,0,0.7,0.7,2016,7,0.9,,,
489,Brent Celek,PHI,1,1,1,9,0,0.9,0.9,2016,10,1.9,,,
528,Brent Celek,PHI,1,1,1,19,0,1.9,1.9,2016,11,2.7,,,
784,Brent Celek,PHI,1,3,3,27,0,2.7,2.7,2016,16,0.9,,,
839,Brent Celek,PHI,1,2,1,9,0,0.9,0.9,2016,17,1.1,,,
888,Brent Celek,PHI,1,2,1,11,0,1.1,1.1,2017,1,0.5,,,
1097,Brent Celek,PHI,1,1,1,5,0,0.5,0.5,2017,5,1.4,,,
1233,Brent Celek,PHI,1,2,1,14,0,1.4,1.4,2017,8,3.9,,,
1270,Brent Celek,PHI,1,4,3,39,0,3.9,3.9,2017,9,2.8,,,
1371,Brent Celek,PHI,1,2,1,28,0,2.8,2.8,2017,11,6.5,,,
1513,Brent Celek,PHI,1,3,1,5,1,6.5,6.5,2017,14,1.2,,,
1637,Brent Celek,PHI,1,2,1,12,0,1.2,1.2,2017,16,1.3,,,
1676,Brent Celek,PHI,1,4,3,13,0,1.3,1.3,2017,17,,,,
45,C.J. Fiedorowicz,HOU,1,2,1,6,0,0.6,0.6,2016,1,10.8,,,
156,C.J. Fiedorowicz,HOU,1,5,4,48,1,10.8,10.8,2016,4,6.1,,,
213,C.J. Fiedorowicz,HOU,1,8,4,61,0,6.1,6.1,2016,5,14.5,,,
252,C.J. Fiedorowicz,HOU,1,7,6,85,1,14.5,14.5,2016,6,3.5,,,
316,C.J. Fiedorowicz,HOU,1,7,5,35,0,3.5,3.5,2016,7,10.3,,,
354,C.J. Fiedorowicz,HOU,1,7,5,43,1,10.3,10.3,2016,8,2.6,,,
481,C.J. Fiedorowicz,HOU,1,5,3,26,0,2.6,2.6,2016,10,8.2,,,
509,C.J. Fiedorowicz,HOU,1,10,6,82,0,8.2,8.2,2016,11,4.2,,,
572,C.J. Fiedorowicz,HOU,1,6,4,42,0,4.2,4.2,2016,12,4.4,,,
615,C.J. Fiedorowicz,HOU,1,9,6,44,0,4.4,4.4,2016,13,3.2,,,
670,C.J. Fiedorowicz,HOU,1,7,3,32,0,3.2,3.2,2016,14,4.2,,,
774,C.J. Fiedorowicz,HOU,1,7,4,42,0,4.2,4.2,2016,16,7.2,,,
815,C.J. Fiedorowicz,HOU,1,7,2,12,1,7.2,7.2,2016,17,4.6,,,
860,C.J. Fiedorowicz,HOU,1,4,4,46,0,4.6,4.6,2017,1,1.0,,,
1329,C.J. Fiedorowicz,HOU,1,6,2,10,0,1.0,1.0,2017,10,1.8,,,
1377,C.J. Fiedorowicz,HOU,1,2,2,18,0,1.8,1.8,2017,11,3.7,,,
1419,C.J. Fiedorowicz,HOU,1,8,4,37,0,3.7,3.7,2017,12,1.6,,,
1489,C.J. Fiedorowicz,HOU,1,3,2,16,0,1.6,1.6,2017,13,,,,
13,C.J. Uzomah,CIN,1,5,2,59,0,5.9,5.9,2016,1,0.9,,,
96,C.J. Uzomah,CIN,1,8,3,9,0,0.9,0.9,2016,2,3.1,,,
120,C.J. Uzomah,CIN,1,4,2,31,0,3.1,3.1,2016,3,4.5,,,
169,C.J. Uzomah,CIN,1,5,4,45,0,4.5,4.5,2016,4,4.3,,,
216,C.J. Uzomah,CIN,1,5,5,43,0,4.3,4.3,2016,5,0.6,,,
299,C.J. Uzomah,CIN,1,2,1,6,0,0.6,0.6,2016,6,2.8,,,
783,C.J. Uzomah,CIN,1,6,5,28,0,2.8,2.8,2016,16,7.3,,,
813,C.J. Uzomah,CIN,1,3,3,13,1,7.3,7.3,2016,17,1.1,,,
1046,C.J. Uzomah,CIN,1,1,1,11,0,1.1,1.1,2017,4,2.1,,,
1083,C.J. Uzomah,CIN,1,2,1,21,0,2.1,2.1,2017,5,0.7,,,
1199,C.J. Uzomah,CIN,1,2,1,7,0,0.7,0.7,2017,7,2.1,,,
1481,C.J. Uzomah,CIN,1,1,1,21,0,2.1,2.1,2017,13,2.4,,,
1579,C.J. Uzomah,CIN,1,4,4,24,0,2.4,2.4,2017,15,6.1,,,
1610,C.J. Uzomah,CIN,1,1,1,1,1,6.1,6.1,2017,16,0.7,,,
1692,C.J. Uzomah,CIN,1,2,1,7,0,0.7,0.7,2017,17,,,,
22,Cameron Brate,TB,1,4,3,30,0,3.0,3.0,2016,1,1.6,,,
90,Cameron Brate,TB,1,4,3,16,0,1.6,1.6,2016,2,16.6,,,
102,Cameron Brate,TB,1,10,5,46,2,16.6,16.6,2016,3,6.7,,,
162,Cameron Brate,TB,1,8,5,67,0,6.7,6.7,2016,4,3.8,,,
218,Cameron Brate,TB,1,3,1,38,0,3.8,3.8,2016,5,2.9,,,
317,Cameron Brate,TB,1,3,3,29,0,2.9,2.9,2016,7,8.2,,,
360,Cameron Brate,TB,1,5,3,22,1,8.2,8.2,2016,8,10.3,,,
406,Cameron Brate,TB,1,6,5,43,1,10.3,10.3,2016,9,14.4,,,
451,Cameron Brate,TB,1,7,7,84,1,14.4,14.4,2016,10,1.8,,,
529,Cameron Brate,TB,1,3,2,18,0,1.8,1.8,2016,11,4.9,,,
569,Cameron Brate,TB,1,5,4,49,0,4.9,4.9,2016,12,14.6,,,
603,Cameron Brate,TB,1,9,6,86,1,14.6,14.6,2016,13,4.7,,,
664,Cameron Brate,TB,1,5,4,47,0,4.7,4.7,2016,14,13.3,,,
701,Cameron Brate,TB,1,8,5,73,1,13.3,13.3,2016,15,7.2,,,
765,Cameron Brate,TB,1,2,1,12,1,7.2,7.2,2016,16,2.4,,,
930,Cameron Brate,TB,1,3,2,24,0,2.4,2.4,2017,2,9.3,,,
959,Cameron Brate,TB,1,4,4,33,1,9.3,9.3,2017,3,14.0,,,
1002,Cameron Brate,TB,1,6,4,80,1,14.0,14.0,2017,4,12.8,,,
1053,Cameron Brate,TB,1,9,5,68,1,12.8,12.8,2017,5,13.6,,,
1103,Cameron Brate,TB,1,8,6,76,1,13.6,13.6,2017,6,6.0,,,
1167,Cameron Brate,TB,1,9,6,60,0,6.0,6.0,2017,7,6.4,,,
1210,Cameron Brate,TB,1,5,4,64,0,6.4,6.4,2017,8,0.9,,,
1284,Cameron Brate,TB,1,4,1,9,0,0.9,0.9,2017,9,1.0,,,
1328,Cameron Brate,TB,1,3,1,10,0,1.0,1.0,2017,10,1.2,,,
1382,Cameron Brate,TB,1,3,1,12,0,1.2,1.2,2017,11,0.6,,,
1447,Cameron Brate,TB,1,2,1,6,0,0.6,0.6,2017,12,15.9,,,
1451,Cameron Brate,TB,1,6,2,39,2,15.9,15.9,2017,13,1.1,,,
1534,Cameron Brate,TB,1,1,1,11,0,1.1,1.1,2017,14,4.9,,,
1568,Cameron Brate,TB,1,5,4,49,0,4.9,4.9,2017,15,1.3,,,
1634,Cameron Brate,TB,1,4,3,13,0,1.3,1.3,2017,16,3.7,,,
1662,Cameron Brate,TB,1,5,3,37,0,3.7,3.7,2017,17,,,,
19,Charles Clay,BUF,1,3,2,40,0,4.0,4.0,2016,1,2.7,,,
82,Charles Clay,BUF,1,7,5,27,0,2.7,2.7,2016,2,4.7,,,
