,name,team,g,rec_target,rec_rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fp,fpg,season,week,next_fp
986,Allen Hurns,JAC,1,3,3,20,1,0,0,0,8.0,8.0,2017,3,3.7
1148,Allen Hurns,JAC,1,3,3,37,0,0,0,0,3.7,3.7,2017,6,10.1
1168,Allen Hurns,JAC,1,8,5,101,0,0,0,0,10.1,10.1,2017,7,7.0
1333,Allen Hurns,JAC,1,9,7,70,0,0,0,0,7.0,7.0,2017,10,3.8
1699,Allen Hurns,JAC,1,5,3,38,0,0,0,0,3.8,3.8,2017,17,
40,Allen Robinson,JAC,1,15,6,72,0,0,0,0,7.2,7.2,2016,1,17.7
108,Allen Robinson,JAC,1,11,7,57,2,0,0,0,17.7,17.7,2016,3,11.5
166,Allen Robinson,JAC,1,10,5,55,1,0,0,0,11.5,11.5,2016,4,7.0
388,Allen Robinson,JAC,1,15,6,70,0,0,0,0,7.0,7.0,2016,8,13.6
411,Allen Robinson,JAC,1,11,7,76,1,0,0,0,13.6,13.6,2016,9,16.7
455,Allen Robinson,JAC,1,13,9,107,1,0,0,0,16.7,16.7,2016,10,7.8
528,Allen Robinson,JAC,1,7,3,18,1,0,0,0,7.8,7.8,2016,11,14.7
762,Allen Robinson,JAC,1,12,9,147,0,0,0,0,14.7,14.7,2016,16,8.2
832,Allen Robinson,JAC,1,12,5,82,0,0,0,0,8.2,8.2,2016,17,
23,Alshon Jeffery,CHI,1,6,4,105,0,0,0,0,10.5,10.5,2016,1,9.6
80,Alshon Jeffery,CHI,1,7,5,96,0,0,0,0,9.6,9.6,2016,2,7.0
136,Alshon Jeffery,CHI,1,7,5,70,0,0,0,0,7.0,7.0,2016,3,7.7
229,Alshon Jeffery,CHI,1,6,5,77,0,0,0,0,7.7,7.7,2016,5,9.3
272,Alshon Jeffery,CHI,1,13,7,93,0,0,0,0,9.3,9.3,2016,6,12.3
366,Alshon Jeffery,CHI,1,8,4,63,1,0,0,0,12.3,12.3,2016,8,14.9
703,Alshon Jeffery,CHI,1,9,6,89,1,0,0,0,14.9,14.9,2016,15,9.2
783,Alshon Jeffery,CHI,1,10,5,92,0,0,0,0,9.2,9.2,2016,16,15.2
907,Alshon Jeffery,PHI,1,13,7,92,1,0,0,0,15.2,15.2,2017,2,8.9
1026,Alshon Jeffery,PHI,1,6,3,29,1,0,0,0,8.9,8.9,2017,4,7.1
1132,Alshon Jeffery,PHI,1,10,4,71,0,0,0,0,7.1,7.1,2017,6,12.2
1210,Alshon Jeffery,PHI,1,8,2,62,1,0,0,0,12.2,12.2,2017,8,20.4
1252,Alshon Jeffery,PHI,1,11,6,84,2,0,0,0,20.4,20.4,2017,9,12.7
1360,Alshon Jeffery,PHI,1,7,4,67,1,0,0,0,12.7,12.7,2017,11,11.2
1416,Alshon Jeffery,PHI,1,9,5,52,1,0,0,0,11.2,11.2,2017,12,6.1
1486,Alshon Jeffery,PHI,1,6,4,61,0,0,0,0,6.1,6.1,2017,13,11.2
1520,Alshon Jeffery,PHI,1,11,5,52,1,0,0,0,11.2,11.2,2017,14,10.9
1571,Alshon Jeffery,PHI,1,10,4,49,1,0,0,0,10.9,10.9,2017,15,
12,Amari Cooper,OAK,1,11,6,137,0,0,0,0,13.7,13.7,2016,1,7.1
92,Amari Cooper,OAK,1,9,5,71,0,0,0,0,7.1,7.1,2016,2,6.2
140,Amari Cooper,OAK,1,9,4,62,0,0,0,0,6.2,6.2,2016,3,19.8
203,Amari Cooper,OAK,1,12,6,138,1,0,0,0,19.8,19.8,2016,5,12.9
261,Amari Cooper,OAK,1,13,10,129,0,0,0,0,12.9,12.9,2016,6,23.3
350,Amari Cooper,OAK,1,15,12,173,1,0,0,0,23.3,23.3,2016,8,5.6
441,Amari Cooper,OAK,1,8,6,56,0,0,0,0,5.6,5.6,2016,9,11.7
514,Amari Cooper,OAK,1,5,4,57,1,0,0,0,11.7,11.7,2016,11,11.9
611,Amari Cooper,OAK,1,4,2,59,1,1,0,0,11.9,11.9,2016,13,7.2
793,Amari Cooper,OAK,1,6,4,72,0,0,0,0,7.2,7.2,2016,16,9.9
816,Amari Cooper,OAK,1,8,4,39,1,0,0,0,9.9,9.9,2016,17,12.2
859,Amari Cooper,OAK,1,13,5,62,1,0,0,0,12.2,12.2,2017,1,33.0
1150,Amari Cooper,OAK,1,19,11,210,2,0,0,0,33.0,33.0,2017,7,5.2
1235,Amari Cooper,OAK,1,10,5,48,0,1,4,0,5.2,5.2,2017,8,5.8
1287,Amari Cooper,OAK,1,9,4,58,0,0,0,0,5.8,5.8,2017,9,8.8
1372,Amari Cooper,OAK,1,7,3,28,1,0,0,0,8.8,8.8,2017,11,6.9
1435,Amari Cooper,OAK,1,1,1,9,1,0,0,0,6.9,6.9,2017,12,12.6
1605,Amari Cooper,OAK,1,4,3,66,1,0,0,0,12.6,12.6,2017,16,17.5
1654,Amari Cooper,OAK,1,6,3,115,1,0,0,0,17.5,17.5,2017,17,
290,Andre Holmes,OAK,1,2,2,11,1,0,0,0,7.1,7.1,2016,6,9.3
782,Andre Holmes,OAK,1,5,3,33,1,0,0,0,9.3,9.3,2016,16,6.1
884,Andre Holmes,BUF,1,1,1,1,1,0,0,0,6.1,6.1,2017,1,6.6
995,Andre Holmes,BUF,1,2,2,6,1,0,0,0,6.6,6.6,2017,3,11.1
1213,Andre Holmes,BUF,1,4,3,51,1,0,0,0,11.1,11.1,2017,8,
94,Andre Johnson,TEN,1,2,1,9,1,0,0,0,6.9,6.9,2016,2,7.3
233,Andre Johnson,TEN,1,4,2,13,1,0,0,0,7.3,7.3,2016,5,
216,Andrew Hawkins,CLE,1,7,4,56,1,0,0,0,11.6,11.6,2016,5,15.1
359,Andrew Hawkins,CLE,1,8,5,31,2,0,0,0,15.1,15.1,2016,8,
71,Anquan Boldin,DET,1,7,4,48,1,0,0,0,10.8,10.8,2016,2,8.2
128,Anquan Boldin,DET,1,6,4,22,1,0,0,0,8.2,8.2,2016,3,4.8
244,Anquan Boldin,DET,1,4,4,48,0,0,0,0,4.8,4.8,2016,5,12.0
262,Anquan Boldin,DET,1,9,8,60,1,0,0,0,12.0,12.0,2016,6,8.8
327,Anquan Boldin,DET,1,4,3,28,1,0,0,0,8.8,8.8,2016,7,7.0
434,Anquan Boldin,DET,1,4,2,10,1,0,0,0,7.0,7.0,2016,9,12.9
568,Anquan Boldin,DET,1,9,7,69,1,0,0,0,12.9,12.9,2016,12,10.9
669,Anquan Boldin,DET,1,6,3,49,1,0,0,0,10.9,10.9,2016,14,11.7
811,Anquan Boldin,DET,1,6,4,57,1,0,0,0,11.7,11.7,2016,17,
1,Antonio Brown,PIT,1,11,8,126,2,0,0,0,24.6,24.6,2016,1,14.0
112,Antonio Brown,PIT,1,18,12,140,0,0,0,0,14.0,14.0,2016,3,18.4
154,Antonio Brown,PIT,1,5,4,64,2,0,0,0,18.4,18.4,2016,4,13.8
212,Antonio Brown,PIT,1,11,9,78,1,0,0,0,13.8,13.8,2016,5,11.9
318,Antonio Brown,PIT,1,11,7,106,0,1,13,0,11.9,11.9,2016,7,14.5
408,Antonio Brown,PIT,1,11,7,85,1,0,0,0,14.5,14.5,2016,9,20.4
451,Antonio Brown,PIT,1,18,14,154,1,1,-10,0,20.4,20.4,2016,10,7.6
529,Antonio Brown,PIT,1,10,8,76,0,0,0,0,7.6,7.6,2016,11,27.1
550,Antonio Brown,PIT,1,6,5,91,3,0,0,0,27.1,27.1,2016,12,11.4
614,Antonio Brown,PIT,1,7,6,54,1,0,0,0,11.4,11.4,2016,13,7.8
682,Antonio Brown,PIT,1,11,5,78,0,0,0,0,7.8,7.8,2016,14,5.8
743,Antonio Brown,PIT,1,5,3,58,0,0,0,0,5.8,5.8,2016,15,15.6
759,Antonio Brown,PIT,1,11,10,96,1,0,0,0,15.6,15.6,2016,16,18.2
853,Antonio Brown,PIT,1,11,11,182,0,0,0,0,18.2,18.2,2017,1,6.2
940,Antonio Brown,PIT,1,11,5,62,0,0,0,0,6.2,6.2,2017,2,17.0
960,Antonio Brown,PIT,1,14,10,110,1,0,0,0,17.0,17.0,2017,3,15.7
1056,Antonio Brown,PIT,1,19,10,157,0,0,0,0,15.7,15.7,2017,5,21.5
1100,Antonio Brown,PIT,1,10,8,155,1,0,0,0,21.5,21.5,2017,6,12.5
1158,Antonio Brown,PIT,1,10,4,65,1,0,0,0,12.5,12.5,2017,7,7.0
1223,Antonio Brown,PIT,1,10,5,70,0,0,0,0,7.0,7.0,2017,8,4.7
1348,Antonio Brown,PIT,1,7,3,47,0,0,0,0,4.7,4.7,2017,10,32.4
1350,Antonio Brown,PIT,1,13,10,144,3,0,0,0,32.4,32.4,2017,11,28.9
1401,Antonio Brown,PIT,1,12,10,169,2,0,0,0,28.9,28.9,2017,12,16.1
1454,Antonio Brown,PIT,1,15,8,101,1,0,0,0,16.1,16.1,2017,13,21.3
1501,Antonio Brown,PIT,1,18,11,213,0,0,0,0,21.3,21.3,2017,14,
280,Bennie Fowler,DEN,1,7,3,22,1,0,0,0,8.2,8.2,2016,6,13.6
564,Bennie Fowler,DEN,1,2,1,76,1,0,0,0,13.6,13.6,2016,12,14.1
856,Bennie Fowler,DEN,1,4,3,21,2,0,0,0,14.1,14.1,2017,1,4.5
1189,Bennie Fowler,DEN,1,5,5,45,0,0,0,0,4.5,4.5,2017,7,3.5
1244,Bennie Fowler,DEN,1,6,2,35,0,0,0,0,3.5,3.5,2017,8,9.3
1422,Bennie Fowler,DEN,1,4,3,33,1,0,0,0,9.3,9.3,2017,12,5.6
1690,Bennie Fowler,DEN,1,6,4,56,0,0,0,0,5.6,5.6,2017,17,
0,Brandin Cooks,NO,1,9,6,143,2,1,11,0,27.4,27.4,2016,1,6.8
95,Brandin Cooks,NO,1,9,7,68,0,0,0,0,6.8,6.8,2016,2,23.5
252,Brandin Cooks,NO,1,9,7,173,1,1,2,0,23.5,23.5,2016,6,11.8
319,Brandin Cooks,NO,1,9,7,58,1,0,0,0,11.8,11.8,2016,7,10.4
371,Brandin Cooks,NO,1,6,4,44,1,0,0,0,10.4,10.4,2016,8,6.6
437,Brandin Cooks,NO,1,6,5,66,0,0,0,0,6.6,6.6,2016,9,15.8
458,Brandin Cooks,NO,1,5,3,98,1,0,0,0,15.8,15.8,2016,10,4.9
545,Brandin Cooks,NO,1,8,7,42,0,2,7,0,4.9,4.9,2016,11,7.7
636,Brandin Cooks,NO,1,9,7,73,0,1,4,0,7.7,7.7,2016,13,6.1
689,Brandin Cooks,NO,1,10,5,61,0,0,0,0,6.1,6.1,2016,14,30.6
700,Brandin Cooks,NO,1,8,7,186,2,0,0,0,30.6,30.6,2016,15,9.8
775,Brandin Cooks,NO,1,9,5,98,0,0,0,0,9.8,9.8,2016,16,8.8
870,Brandin Cooks,NE,1,7,3,88,0,0,0,0,8.8,8.8,2017,1,25.1
951,Brandin Cooks,NE,1,7,5,131,2,0,0,0,25.1,25.1,2017,3,8.5
1075,Brandin Cooks,NE,1,8,5,85,0,0,0,0,8.5,8.5,2017,5,9.3
1124,Brandin Cooks,NE,1,9,6,93,0,0,0,0,9.3,9.3,2017,6,12.5
1159,Brandin Cooks,NE,1,5,4,65,1,0,0,0,12.5,12.5,2017,7,7.4
1331,Brandin Cooks,NE,1,11,6,74,0,0,0,0,7.4,7.4,2017,10,20.9
1353,Brandin Cooks,NE,1,9,6,149,1,0,0,0,20.9,20.9,2017,11,15.4
1407,Brandin Cooks,NE,1,7,6,83,1,1,11,0,15.4,15.4,2017,12,12.0
1563,Brandin Cooks,NE,1,7,4,60,1,0,0,0,12.0,12.0,2017,15,14.7
1660,Brandin Cooks,NE,1,11,5,79,1,3,8,0,14.7,14.7,2017,17,
130,Brandon Coleman,NO,1,8,7,78,0,0,0,0,7.8,7.8,2016,3,7.0
333,Brandon Coleman,NO,1,1,1,10,1,0,0,0,7.0,7.0,2016,7,6.9
531,Brandon Coleman,NO,1,2,1,9,1,0,0,0,6.9,6.9,2016,11,6.3
599,Brandon Coleman,NO,1,1,1,3,1,0,0,0,6.3,6.3,2016,12,4.7
698,Brandon Coleman,NO,1,8,5,47,0,0,0,0,4.7,4.7,2016,14,14.2
908,Brandon Coleman,NO,1,6,4,82,1,0,0,0,14.2,14.2,2017,2,7.1
991,Brandon Coleman,NO,1,1,1,11,1,0,0,0,7.1,7.1,2017,3,9.1
1171,Brandon Coleman,NO,1,3,2,31,1,0,0,0,9.1,9.1,2017,7,5.4
1233,Brandon Coleman,NO,1,1,1,54,0,0,0,0,5.4,5.4,2017,8,
31,Brandon LaFell,CIN,1,4,4,91,0,0,0,0,9.1,9.1,2016,1,18.8
205,Brandon LaFell,CIN,1,11,8,68,2,0,0,0,18.8,18.8,2016,5,7.3
288,Brandon LaFell,CIN,1,5,2,13,1,0,0,0,7.3,7.3,2016,6,14.3
309,Brandon LaFell,CIN,1,5,4,83,1,0,0,0,14.3,14.3,2016,7,15.5
604,Brandon LaFell,CIN,1,7,5,95,1,0,0,0,15.5,15.5,2016,13,9.1
728,Brandon LaFell,CIN,1,9,7,91,0,0,0,0,9.1,9.1,2016,15,19.0
757,Brandon LaFell,CIN,1,10,6,130,1,0,0,0,19.0,19.0,2016,16,6.7
839,Brandon LaFell,CIN,1,11,7,67,0,0,0,0,6.7,6.7,2016,17,8.8
1174,Brandon LaFell,CIN,1,7,4,28,1,0,0,0,8.8,8.8,2017,7,4.4
