,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
113,Ezekiel Elliott,DAL,1,30,140,0,2,2,20,0,16.0,16.0,2016,3,21.7
151,Ezekiel Elliott,DAL,1,23,138,1,1,1,19,0,21.7,21.7,2016,4,29.1
201,Ezekiel Elliott,DAL,1,15,134,2,4,3,37,0,29.1,29.1,2016,5,17.4
260,Ezekiel Elliott,DAL,1,28,157,0,4,2,17,0,17.4,17.4,2016,6,14.8
359,Ezekiel Elliott,DAL,1,22,96,0,4,4,52,0,14.8,14.8,2016,8,21.7
403,Ezekiel Elliott,DAL,1,18,92,2,1,1,5,0,21.7,21.7,2016,9,38.9
450,Ezekiel Elliott,DAL,1,21,114,2,2,2,95,1,38.9,38.9,2016,10,12.7
510,Ezekiel Elliott,DAL,1,25,97,0,5,4,30,0,12.7,12.7,2016,11,24.0
552,Ezekiel Elliott,DAL,1,20,97,2,2,2,23,0,24.0,24.0,2016,12,16.5
611,Ezekiel Elliott,DAL,1,20,86,1,5,4,19,0,16.5,16.5,2016,13,10.7
671,Ezekiel Elliott,DAL,1,24,107,0,2,0,0,0,10.7,10.7,2016,14,24.8
703,Ezekiel Elliott,DAL,1,23,159,1,3,3,29,0,24.8,24.8,2016,15,21.2
755,Ezekiel Elliott,DAL,1,12,80,2,1,1,12,0,21.2,21.2,2016,16,14.0
858,Ezekiel Elliott,DAL,1,24,104,0,5,5,36,0,14.0,14.0,2017,1,15.4
960,Ezekiel Elliott,DAL,1,22,80,1,4,3,14,0,15.4,15.4,2017,3,25.9
1002,Ezekiel Elliott,DAL,1,21,85,1,5,4,54,1,25.9,25.9,2017,4,13.2
1060,Ezekiel Elliott,DAL,1,29,116,0,2,1,16,0,13.2,13.2,2017,5,39.9
1150,Ezekiel Elliott,DAL,1,26,147,2,3,1,72,1,39.9,39.9,2017,7,27.4
1200,Ezekiel Elliott,DAL,1,33,150,2,2,1,4,0,27.4,27.4,2017,8,15.3
1257,Ezekiel Elliott,DAL,1,27,93,1,0,0,0,0,15.3,15.3,2017,9,11.8
1618,Ezekiel Elliott,DAL,1,24,97,0,7,4,21,0,11.8,11.8,2017,16,14.1
1660,Ezekiel Elliott,DAL,1,27,103,0,5,3,38,0,14.1,14.1,2017,17,
598,Fitzgerald Toussaint,PIT,1,6,28,0,0,0,0,0,2.8,2.8,2016,12,3.8
849,Fitzgerald Toussaint,PIT,1,3,14,0,2,2,24,0,3.8,3.8,2016,17,
63,Fozzy Whittaker,CAR,1,16,100,0,4,3,31,0,13.1,13.1,2016,2,5.6
138,Fozzy Whittaker,CAR,1,5,22,0,6,5,34,0,5.6,5.6,2016,3,9.2
173,Fozzy Whittaker,CAR,1,3,6,0,9,9,86,0,9.2,9.2,2016,4,5.4
234,Fozzy Whittaker,CAR,1,5,45,0,1,1,9,0,5.4,5.4,2016,5,9.4
1027,Fozzy Whittaker,CAR,1,0,0,0,3,3,34,1,9.4,9.4,2017,4,
30,Frank Gore,IND,1,14,59,0,6,4,19,0,7.8,7.8,2016,1,12.3
65,Frank Gore,IND,1,13,44,0,3,3,19,1,12.3,12.3,2016,2,14.3
115,Frank Gore,IND,1,21,82,1,3,1,1,0,14.3,14.3,2016,3,15.5
160,Frank Gore,IND,1,16,68,1,6,5,27,0,15.5,15.5,2016,4,7.9
224,Frank Gore,IND,1,14,75,0,2,1,4,0,7.9,7.9,2016,5,10.8
266,Frank Gore,IND,1,22,106,0,1,1,2,0,10.8,10.8,2016,6,14.3
315,Frank Gore,IND,1,17,61,0,5,5,22,1,14.3,14.3,2016,7,12.2
368,Frank Gore,IND,1,9,37,0,3,2,25,1,12.2,12.2,2016,8,19.1
405,Frank Gore,IND,1,19,60,2,2,2,11,0,19.1,19.1,2016,9,12.1
514,Frank Gore,IND,1,18,50,0,4,4,71,0,12.1,12.1,2016,11,3.1
597,Frank Gore,IND,1,15,28,0,1,1,3,0,3.1,3.1,2016,12,7.9
623,Frank Gore,IND,1,20,79,0,1,0,0,0,7.9,7.9,2016,13,13.4
665,Frank Gore,IND,1,10,41,0,2,2,33,1,13.4,13.4,2016,14,11.5
717,Frank Gore,IND,1,26,101,0,4,4,14,0,11.5,11.5,2016,15,8.5
776,Frank Gore,IND,1,13,73,0,2,1,12,0,8.5,8.5,2016,16,7.6
834,Frank Gore,IND,1,16,62,0,2,2,14,0,7.6,7.6,2016,17,5.2
887,Frank Gore,IND,1,10,42,0,1,1,10,0,5.2,5.2,2017,1,10.6
916,Frank Gore,IND,1,14,46,1,2,0,0,0,10.6,10.6,2017,2,11.7
965,Frank Gore,IND,1,25,57,1,1,1,0,0,11.7,11.7,2017,3,8.0
1030,Frank Gore,IND,1,12,46,0,3,3,34,0,8.0,8.0,2017,4,8.6
1069,Frank Gore,IND,1,14,48,0,4,3,38,0,8.6,8.6,2017,5,6.7
1129,Frank Gore,IND,1,10,49,0,3,2,18,0,6.7,6.7,2017,6,3.4
1195,Frank Gore,IND,1,9,34,0,0,0,0,0,3.4,3.4,2017,7,10.1
1218,Frank Gore,IND,1,16,82,0,4,4,19,0,10.1,10.1,2017,8,7.7
1273,Frank Gore,IND,1,17,51,0,4,3,26,0,7.7,7.7,2017,9,6.1
1331,Frank Gore,IND,1,17,54,0,1,1,7,0,6.1,6.1,2017,10,13.9
1408,Frank Gore,IND,1,17,62,1,5,2,17,0,13.9,13.9,2017,12,6.1
1490,Frank Gore,IND,1,13,61,0,0,0,0,0,6.1,6.1,2017,13,14.0
1515,Frank Gore,IND,1,36,130,0,1,1,10,0,14.0,14.0,2017,14,6.8
1580,Frank Gore,IND,1,10,31,0,4,3,37,0,6.8,6.8,2017,15,14.6
1610,Frank Gore,IND,1,17,68,0,2,2,18,1,14.6,14.6,2017,16,10.0
1671,Frank Gore,IND,1,24,100,0,0,0,0,0,10.0,10.0,2017,17,
55,Giovani Bernard,CIN,1,5,17,0,11,9,100,1,17.7,17.7,2016,2,4.4
145,Giovani Bernard,CIN,1,5,8,0,5,5,36,0,4.4,4.4,2016,3,4.2
191,Giovani Bernard,CIN,1,10,18,0,4,3,24,0,4.2,4.2,2016,4,9.6
219,Giovani Bernard,CIN,1,9,50,0,6,6,46,0,9.6,9.6,2016,5,9.4
272,Giovani Bernard,CIN,1,15,49,0,5,4,45,0,9.4,9.4,2016,6,14.7
312,Giovani Bernard,CIN,1,17,80,1,2,1,7,0,14.7,14.7,2016,7,12.6
365,Giovani Bernard,CIN,1,11,52,1,1,1,14,0,12.6,12.6,2016,8,3.6
488,Giovani Bernard,CIN,1,7,17,0,5,3,19,0,3.6,3.6,2016,10,6.1
536,Giovani Bernard,CIN,1,7,21,0,8,5,40,0,6.1,6.1,2016,11,7.9
875,Giovani Bernard,CIN,1,7,40,0,2,1,39,0,7.9,7.9,2017,1,9.9
971,Giovani Bernard,CIN,1,3,27,0,2,2,12,1,9.9,9.9,2017,3,13.9
1012,Giovani Bernard,CIN,1,3,12,0,4,3,67,1,13.9,13.9,2017,4,3.2
1099,Giovani Bernard,CIN,1,2,2,0,2,2,30,0,3.2,3.2,2017,5,4.8
1341,Giovani Bernard,CIN,1,2,10,0,5,5,38,0,4.8,4.8,2017,10,9.6
1476,Giovani Bernard,CIN,1,13,77,0,3,2,19,0,9.6,9.6,2017,13,13.0
1518,Giovani Bernard,CIN,1,11,62,0,8,6,68,0,13.0,13.0,2017,14,10.3
1570,Giovani Bernard,CIN,1,14,30,1,5,3,13,0,10.3,10.3,2017,15,22.8
1602,Giovani Bernard,CIN,1,23,116,1,7,7,52,0,22.8,22.8,2017,16,7.0
1681,Giovani Bernard,CIN,1,10,52,0,9,6,18,0,7.0,7.0,2017,17,
12,Isaiah Crowell,CLE,1,12,62,1,2,2,16,0,13.8,13.8,2016,1,20.8
51,Isaiah Crowell,CLE,1,18,133,1,1,1,15,0,20.8,20.8,2016,2,7.9
129,Isaiah Crowell,CLE,1,15,79,0,1,0,0,0,7.9,7.9,2016,3,19.4
154,Isaiah Crowell,CLE,1,15,112,1,4,3,22,0,19.4,19.4,2016,4,4.0
240,Isaiah Crowell,CLE,1,13,22,0,3,1,18,0,4.0,4.0,2016,5,3.6
289,Isaiah Crowell,CLE,1,9,16,0,2,2,20,0,3.6,3.6,2016,6,13.9
317,Isaiah Crowell,CLE,1,12,63,1,4,3,16,0,13.9,13.9,2016,7,12.3
366,Isaiah Crowell,CLE,1,11,29,1,2,2,34,0,12.3,12.3,2016,8,6.7
424,Isaiah Crowell,CLE,1,6,4,0,4,4,63,0,6.7,6.7,2016,9,5.3
481,Isaiah Crowell,CLE,1,9,23,0,5,3,30,0,5.3,5.3,2016,10,2.3
549,Isaiah Crowell,CLE,1,8,10,0,5,5,13,0,2.3,2.3,2016,11,9.1
567,Isaiah Crowell,CLE,1,16,44,0,7,6,47,0,9.1,9.1,2016,12,11.8
668,Isaiah Crowell,CLE,1,10,113,0,2,1,5,0,11.8,11.8,2016,14,17.8
759,Isaiah Crowell,CLE,1,16,54,2,5,4,4,0,17.8,17.8,2016,16,16.8
811,Isaiah Crowell,CLE,1,19,152,0,4,3,16,0,16.8,16.8,2016,17,6.6
882,Isaiah Crowell,CLE,1,17,33,0,2,2,33,0,6.6,6.6,2017,1,3.7
948,Isaiah Crowell,CLE,1,10,37,0,1,0,0,0,3.7,3.7,2017,2,5.4
988,Isaiah Crowell,CLE,1,12,44,0,3,2,10,0,5.4,5.4,2017,3,6.7
1078,Isaiah Crowell,CLE,1,16,60,0,3,2,7,0,6.7,6.7,2017,5,7.3
1127,Isaiah Crowell,CLE,1,12,58,0,2,2,15,0,7.3,7.3,2017,6,7.1
1175,Isaiah Crowell,CLE,1,17,35,0,6,4,36,0,7.1,7.1,2017,7,17.8
1205,Isaiah Crowell,CLE,1,11,64,1,6,4,54,0,17.8,17.8,2017,8,15.5
1305,Isaiah Crowell,CLE,1,16,90,1,2,1,5,0,15.5,15.5,2017,10,10.5
1417,Isaiah Crowell,CLE,1,16,95,0,2,1,10,0,10.5,10.5,2017,12,13.1
1517,Isaiah Crowell,CLE,1,19,121,0,3,3,10,0,13.1,13.1,2017,14,6.5
1582,Isaiah Crowell,CLE,1,5,72,0,5,4,-7,0,6.5,6.5,2017,15,4.3
1647,Isaiah Crowell,CLE,1,12,44,0,4,1,-1,0,4.3,4.3,2017,16,
1007,J.D. McKissic,SEA,1,4,38,1,1,1,27,1,18.5,18.5,2017,4,3.6
1093,J.D. McKissic,SEA,1,2,0,0,5,3,36,0,3.6,3.6,2017,5,3.3
1196,J.D. McKissic,SEA,1,3,10,0,2,2,23,0,3.3,3.3,2017,7,2.6
1294,J.D. McKissic,SEA,1,3,12,0,3,2,14,0,2.6,2.6,2017,9,4.6
1344,J.D. McKissic,SEA,1,5,26,0,5,4,20,0,4.6,4.6,2017,10,5.3
1385,J.D. McKissic,SEA,1,7,30,0,6,5,23,0,5.3,5.3,2017,11,4.6
1437,J.D. McKissic,SEA,1,4,22,0,7,4,24,0,4.6,4.6,2017,12,7.4
1485,J.D. McKissic,SEA,1,1,-1,0,3,1,15,1,7.4,7.4,2017,13,5.8
1588,J.D. McKissic,SEA,1,6,20,0,4,3,38,0,5.8,5.8,2017,15,
215,Jacquizz Rodgers,TB,1,30,101,0,6,5,28,0,12.9,12.9,2016,5,16.3
310,Jacquizz Rodgers,TB,1,26,154,0,1,1,9,0,16.3,16.3,2016,7,13.8
363,Jacquizz Rodgers,TB,1,19,69,1,1,1,9,0,13.8,13.8,2016,8,5.0
638,Jacquizz Rodgers,TB,1,7,29,0,1,1,21,0,5.0,5.0,2016,13,13.8
767,Jacquizz Rodgers,TB,1,15,63,1,2,2,15,0,13.8,13.8,2016,16,7.9
831,Jacquizz Rodgers,TB,1,17,75,0,1,1,4,0,7.9,7.9,2016,17,12.7
912,Jacquizz Rodgers,TB,1,19,67,1,0,0,0,0,12.7,12.7,2017,2,10.8
1024,Jacquizz Rodgers,TB,1,16,83,0,3,2,25,0,10.8,10.8,2017,4,3.7
1446,Jacquizz Rodgers,TB,1,8,31,0,2,1,6,0,3.7,3.7,2017,12,
11,Jalen Richard,OAK,1,3,84,1,2,2,11,0,15.5,15.5,2016,1,4.1
148,Jalen Richard,OAK,1,6,28,0,1,1,13,0,4.1,4.1,2016,3,9.7
218,Jalen Richard,OAK,1,8,31,0,7,6,66,0,9.7,9.7,2016,5,3.7
389,Jalen Richard,OAK,1,5,34,0,2,2,3,0,3.7,3.7,2016,8,7.2
421,Jalen Richard,OAK,1,8,62,0,3,2,10,0,7.2,7.2,2016,9,11.2
517,Jalen Richard,OAK,1,3,2,0,3,3,50,1,11.2,11.2,2016,11,2.3
599,Jalen Richard,OAK,1,7,23,0,0,0,0,0,2.3,2.3,2016,12,5.3
636,Jalen Richard,OAK,1,9,53,0,0,0,0,0,5.3,5.3,2016,13,4.9
742,Jalen Richard,OAK,1,6,36,0,5,4,13,0,4.9,4.9,2016,15,13.9
766,Jalen Richard,OAK,1,6,66,0,3,3,13,1,13.9,13.9,2016,16,16.9
906,Jalen Richard,OAK,1,6,58,1,2,2,51,0,16.9,16.9,2017,2,3.7
1092,Jalen Richard,OAK,1,9,37,0,2,0,0,0,3.7,3.7,2017,5,2.6
1147,Jalen Richard,OAK,1,2,-1,0,4,3,27,0,2.6,2.6,2017,6,7.6
1173,Jalen Richard,OAK,1,9,31,0,4,4,45,0,7.6,7.6,2017,7,5.6
1233,Jalen Richard,OAK,1,5,21,0,7,5,35,0,5.6,5.6,2017,8,2.8
1394,Jalen Richard,OAK,1,4,19,0,3,2,9,0,2.8,2.8,2017,11,9.0
1422,Jalen Richard,OAK,1,2,17,0,2,2,13,1,9.0,9.0,2017,12,5.6
1640,Jalen Richard,OAK,1,4,42,0,2,2,14,0,5.6,5.6,2017,16,
267,Jamaal Charles,KC,1,9,33,1,2,2,14,0,10.7,10.7,2016,6,4.0
893,Jamaal Charles,DEN,1,10,40,0,1,0,0,0,4.0,4.0,2017,1,5.2
937,Jamaal Charles,DEN,1,9,46,0,1,1,6,0,5.2,5.2,2017,2,11.7
964,Jamaal Charles,DEN,1,9,56,1,1,1,1,0,11.7,11.7,2017,3,4.7
1044,Jamaal Charles,DEN,1,5,33,0,1,1,14,0,4.7,4.7,2017,4,4.4
1241,Jamaal Charles,DEN,1,8,39,0,1,1,5,0,4.4,4.4,2017,8,2.4
1297,Jamaal Charles,DEN,1,4,1,0,4,4,23,0,2.4,2.4,2017,9,3.8
1349,Jamaal Charles,DEN,1,8,38,0,1,0,0,0,3.8,3.8,2017,10,5.1
1493,Jamaal Charles,DEN,1,3,12,0,5,5,39,0,5.1,5.1,2017,13,
1268,Jamaal Williams,GB,1,1,1,1,2,2,31,0,9.2,9.2,2017,9,7.4
1329,Jamaal Williams,GB,1,20,67,0,1,1,7,0,7.4,7.4,2017,10,9.5
1375,Jamaal Williams,GB,1,18,57,0,6,4,38,0,9.5,9.5,2017,11,25.5
1401,Jamaal Williams,GB,1,21,66,1,5,4,69,1,25.5,25.5,2017,12,18.3
1456,Jamaal Williams,GB,1,21,113,1,3,2,10,0,18.3,18.3,2017,13,23.8
1505,Jamaal Williams,GB,1,15,49,1,7,7,69,1,23.8,23.8,2017,14,5.8
1637,Jamaal Williams,GB,1,15,58,0,3,0,0,0,5.8,5.8,2017,16,11.3
1667,Jamaal Williams,GB,1,22,82,0,5,3,31,0,11.3,11.3,2017,17,
235,James Starks,GB,1,12,33,0,6,3,19,0,5.2,5.2,2016,5,10.4
464,James Starks,GB,1,7,33,0,4,3,11,1,10.4,10.4,2016,10,13.1
509,James Starks,GB,1,9,25,0,6,5,46,1,13.1,13.1,2016,11,6.8
578,James Starks,GB,1,17,41,0,5,5,27,0,6.8,6.8,2016,12,
44,James White,NE,1,1,4,0,7,5,40,0,4.4,4.4,2016,1,6.2
183,James White,NE,1,4,12,0,5,5,50,0,6.2,6.2,2016,4,8.9
221,James White,NE,1,5,26,0,6,4,63,0,8.9,8.9,2016,5,18.6
259,James White,NE,1,7,19,0,9,8,47,2,18.6,18.6,2016,6,9.2
325,James White,NE,1,0,0,0,5,2,32,1,9.2,9.2,2016,7,2.9
393,James White,NE,1,2,15,0,5,2,14,0,2.9,2.9,2016,8,3.7
487,James White,NE,1,2,5,0,4,4,32,0,3.7,3.7,2016,10,12.3
513,James White,NE,1,0,0,0,6,6,63,1,12.3,12.3,2016,11,3.5
648,James White,NE,1,3,17,0,5,4,18,0,3.5,3.5,2016,13,8.4
676,James White,NE,1,2,3,0,3,3,81,0,8.4,8.4,2016,14,10.6
772,James White,NE,1,1,14,0,4,3,32,1,10.6,10.6,2016,16,6.8
881,James White,NE,1,10,38,0,5,3,30,0,6.8,6.8,2017,1,9.6
921,James White,NE,1,2,11,0,8,8,85,0,9.6,9.6,2017,2,5.4
1038,James White,NE,1,1,7,0,12,10,47,0,5.4,5.4,2017,4,6.0
1081,James White,NE,1,2,3,0,9,7,57,0,6.0,6.0,2017,5,4.5
1137,James White,NE,1,3,23,0,7,4,22,0,4.5,4.5,2017,6,10.7
1162,James White,NE,1,4,19,0,5,5,28,1,10.7,10.7,2017,7,8.7
1221,James White,NE,1,1,2,0,6,5,85,0,8.7,8.7,2017,8,7.8
1327,James White,NE,1,2,7,0,3,3,11,1,7.8,7.8,2017,10,5.0
1495,James White,NE,1,5,18,0,6,4,32,0,5.0,5.0,2017,13,7.1
1532,James White,NE,1,0,0,0,4,3,11,1,7.1,7.1,2017,14,
36,Jamize Olawale,OAK,1,1,2,1,0,0,0,0,6.2,6.2,2016,1,3.9
96,Jamize Olawale,OAK,1,1,11,0,2,2,28,0,3.9,3.9,2016,2,8.4
223,Jamize Olawale,OAK,1,6,22,1,1,1,2,0,8.4,8.4,2016,5,6.8
380,Jamize Olawale,OAK,1,1,-1,0,2,2,69,0,6.8,6.8,2016,8,14.7
505,Jamize Olawale,OAK,1,2,-3,0,3,3,90,1,14.7,14.7,2016,11,6.3
1229,Jamize Olawale,OAK,1,2,3,1,0,0,0,0,6.3,6.3,2017,8,
879,Javorius Allen,BAL,1,21,71,0,1,0,0,0,7.1,7.1,2017,1,16.1
907,Javorius Allen,BAL,1,14,66,0,6,5,35,1,16.1,16.1,2017,2,4.4
1046,Javorius Allen,BAL,1,2,7,0,6,6,37,0,4.4,4.4,2017,4,14.5
1055,Javorius Allen,BAL,1,21,73,1,5,4,12,0,14.5,14.5,2017,5,6.6
1130,Javorius Allen,BAL,1,10,49,0,4,3,17,0,6.6,6.6,2017,6,4.9
1186,Javorius Allen,BAL,1,6,20,0,11,8,29,0,4.9,4.9,2017,7,5.7
1232,Javorius Allen,BAL,1,17,55,0,3,1,2,0,5.7,5.7,2017,8,12.5
1260,Javorius Allen,BAL,1,7,21,0,8,7,44,1,12.5,12.5,2017,9,7.7
1427,Javorius Allen,BAL,1,5,15,1,1,1,2,0,7.7,7.7,2017,12,17.7
1512,Javorius Allen,BAL,1,6,25,2,2,2,32,0,17.7,17.7,2017,14,7.4
1578,Javorius Allen,BAL,1,13,70,0,3,1,4,0,7.4,7.4,2017,15,4.7
1646,Javorius Allen,BAL,1,8,37,0,1,1,10,0,4.7,4.7,2017,16,3.7
1695,Javorius Allen,BAL,1,5,37,0,1,0,0,0,3.7,3.7,2017,17,
94,Jay Ajayi,MIA,1,5,14,0,4,4,31,0,4.5,4.5,2016,2,8.8
124,Jay Ajayi,MIA,1,7,28,1,0,0,0,0,8.8,8.8,2016,3,4.6
187,Jay Ajayi,MIA,1,6,33,0,2,2,13,0,4.6,4.6,2016,4,10.2
216,Jay Ajayi,MIA,1,13,42,1,1,0,0,0,10.2,10.2,2016,5,32.7
250,Jay Ajayi,MIA,1,25,204,2,2,1,3,0,32.7,32.7,2016,6,27.6
301,Jay Ajayi,MIA,1,28,214,1,1,1,2,0,27.6,27.6,2016,7,19.0
406,Jay Ajayi,MIA,1,24,111,1,4,3,19,0,19.0,19.0,2016,9,8.0
470,Jay Ajayi,MIA,1,19,79,0,1,1,1,0,8.0,8.0,2016,10,8.4
529,Jay Ajayi,MIA,1,16,77,0,4,3,7,0,8.4,8.4,2016,11,11.6
562,Jay Ajayi,MIA,1,18,45,1,2,1,11,0,11.6,11.6,2016,12,8.7
620,Jay Ajayi,MIA,1,12,61,0,7,6,26,0,8.7,8.7,2016,13,6.3
683,Jay Ajayi,MIA,1,20,48,0,3,1,15,0,6.3,6.3,2016,14,5.1
740,Jay Ajayi,MIA,1,19,51,0,0,0,0,0,5.1,5.1,2016,15,26.9
751,Jay Ajayi,MIA,1,32,206,1,1,1,3,0,26.9,26.9,2016,16,7.9
830,Jay Ajayi,MIA,1,16,59,0,3,3,20,0,7.9,7.9,2016,17,12.6
913,Jay Ajayi,MIA,1,28,122,0,2,2,4,0,12.6,12.6,2017,2,5.4
1037,Jay Ajayi,MIA,1,12,46,0,1,1,8,0,5.4,5.4,2017,4,7.9
1071,Jay Ajayi,MIA,1,25,77,0,3,2,2,0,7.9,7.9,2017,5,13.0
1112,Jay Ajayi,MIA,1,26,130,0,3,0,0,0,13.0,13.0,2017,6,7.7
1171,Jay Ajayi,MIA,1,23,51,0,4,3,26,0,7.7,7.7,2017,7,4.1
1243,Jay Ajayi,MIA,1,13,23,0,4,4,18,0,4.1,4.1,2017,8,13.7
1259,Jay Ajayi,PHI,1,8,77,1,0,0,0,0,13.7,13.7,2017,9,10.1
1372,Jay Ajayi,PHI,1,7,91,0,1,1,10,0,10.1,10.1,2017,11,3.3
1449,Jay Ajayi,PHI,1,5,26,0,2,1,7,0,3.3,3.3,2017,12,4.6
1498,Jay Ajayi,PHI,1,9,35,0,4,3,11,0,4.6,4.6,2017,13,8.0
1529,Jay Ajayi,PHI,1,15,78,0,2,1,2,0,8.0,8.0,2017,14,8.9
1574,Jay Ajayi,PHI,1,12,49,0,2,2,40,0,8.9,8.9,2017,15,13.3
1613,Jay Ajayi,PHI,1,14,52,0,3,2,21,1,13.3,13.3,2017,16,
27,Jeremy Hill,CIN,1,9,31,1,0,0,0,0,9.1,9.1,2016,1,5.9
82,Jeremy Hill,CIN,1,11,22,0,5,3,37,0,5.9,5.9,2016,2,21.7
107,Jeremy Hill,CIN,1,17,97,2,0,0,0,0,21.7,21.7,2016,3,7.1
180,Jeremy Hill,CIN,1,21,71,0,1,0,0,0,7.1,7.1,2016,4,4.1
288,Jeremy Hill,CIN,1,13,38,0,1,1,3,0,4.1,4.1,2016,6,25.2
304,Jeremy Hill,CIN,1,9,168,1,2,2,24,0,25.2,25.2,2016,7,13.3
364,Jeremy Hill,CIN,1,20,76,1,1,1,-3,0,13.3,13.3,2016,8,10.6
462,Jeremy Hill,CIN,1,15,46,1,0,0,0,0,10.6,10.6,2016,10,6.3
535,Jeremy Hill,CIN,1,16,62,0,2,2,1,0,6.3,6.3,2016,11,8.2
572,Jeremy Hill,CIN,1,12,21,0,6,6,61,0,8.2,8.2,2016,12,10.5
617,Jeremy Hill,CIN,1,23,33,1,3,2,12,0,10.5,10.5,2016,13,20.2
653,Jeremy Hill,CIN,1,25,111,1,4,3,31,0,20.2,20.2,2016,14,11.1
719,Jeremy Hill,CIN,1,20,43,1,1,1,8,0,11.1,11.1,2016,15,
18,Jeremy Langford,CHI,1,17,57,1,4,2,6,0,12.3,12.3,2016,1,9.4
69,Jeremy Langford,CHI,1,11,28,1,2,1,6,0,9.4,9.4,2016,2,4.6
143,Jeremy Langford,CHI,1,3,31,0,3,2,15,0,4.6,4.6,2016,3,2.6
495,Jeremy Langford,CHI,1,2,16,0,5,4,10,0,2.6,2.6,2016,10,9.8
524,Jeremy Langford,CHI,1,6,8,1,3,3,30,0,9.8,9.8,2016,11,8.3
779,Jeremy Langford,CHI,1,7,19,1,2,1,4,0,8.3,8.3,2016,16,6.7
836,Jeremy Langford,CHI,1,10,26,0,3,3,41,0,6.7,6.7,2016,17,
142,Jerick McKinnon,MIN,1,16,45,0,2,1,2,0,4.7,4.7,2016,3,15.5
161,Jerick McKinnon,MIN,1,18,85,1,5,3,10,0,15.5,15.5,2016,4,4.6
238,Jerick McKinnon,MIN,1,20,36,0,3,1,10,0,4.6,4.6,2016,5,4.8
341,Jerick McKinnon,MIN,1,11,43,0,1,1,5,0,4.8,4.8,2016,7,3.3
490,Jerick McKinnon,MIN,1,6,16,0,4,3,17,0,3.3,3.3,2016,10,4.1
541,Jerick McKinnon,MIN,1,16,44,0,1,1,-3,0,4.1,4.1,2016,11,7.6
574,Jerick McKinnon,MIN,1,9,31,0,3,3,45,0,7.6,7.6,2016,12,11.5
614,Jerick McKinnon,MIN,1,9,41,0,6,5,14,1,11.5,11.5,2016,13,6.9
680,Jerick McKinnon,MIN,1,14,31,0,6,6,38,0,6.9,6.9,2016,14,7.1
732,Jerick McKinnon,MIN,1,3,12,0,9,9,59,0,7.1,7.1,2016,15,8.5
778,Jerick McKinnon,MIN,1,11,50,0,6,5,35,0,8.5,8.5,2016,16,23.0
803,Jerick McKinnon,MIN,1,16,89,1,4,3,21,1,23.0,23.0,2016,17,3.7
896,Jerick McKinnon,MIN,1,3,5,0,3,3,32,0,3.7,3.7,2017,1,20.6
1052,Jerick McKinnon,MIN,1,16,95,1,6,6,51,0,20.6,20.6,2017,5,21.9
1104,Jerick McKinnon,MIN,1,16,69,1,6,5,30,1,21.9,21.9,2017,6,5.7
1183,Jerick McKinnon,MIN,1,14,47,0,3,3,10,0,5.7,5.7,2017,7,18.2
1204,Jerick McKinnon,MIN,1,14,50,1,10,6,72,0,18.2,18.2,2017,8,4.7
1342,Jerick McKinnon,MIN,1,10,32,0,2,2,15,0,4.7,4.7,2017,10,6.0
1381,Jerick McKinnon,MIN,1,14,48,0,7,5,12,0,6.0,6.0,2017,11,5.4
1432,Jerick McKinnon,MIN,1,13,23,0,3,1,31,0,5.4,5.4,2017,12,11.2
1465,Jerick McKinnon,MIN,1,9,24,0,5,5,28,1,11.2,11.2,2017,13,5.5
1540,Jerick McKinnon,MIN,1,7,46,0,3,2,9,0,5.5,5.5,2017,14,13.8
1563,Jerick McKinnon,MIN,1,9,24,0,8,7,114,0,13.8,13.8,2017,15,5.1
1645,Jerick McKinnon,MIN,1,7,42,0,2,1,9,0,5.1,5.1,2017,16,4.4
1694,Jerick McKinnon,MIN,1,12,44,0,1,0,0,0,4.4,4.4,2017,17,
944,Joe Mixon,CIN,1,9,36,0,1,1,5,0,4.1,4.1,2017,2,10.1
970,Joe Mixon,CIN,1,18,62,0,3,3,39,0,10.1,10.1,2017,3,4.8
1043,Joe Mixon,CIN,1,17,29,0,4,4,19,0,4.8,4.8,2017,4,11.1
1063,Joe Mixon,CIN,1,15,51,1,0,0,0,0,11.1,11.1,2017,5,6.8
1178,Joe Mixon,CIN,1,7,48,0,3,3,20,0,6.8,6.8,2017,7,10.9
1216,Joe Mixon,CIN,1,11,18,0,3,3,91,0,10.9,10.9,2017,8,10.6
1264,Joe Mixon,CIN,1,13,31,1,4,3,15,0,10.6,10.6,2017,9,10.0
1322,Joe Mixon,CIN,1,9,37,1,3,1,3,0,10.0,10.0,2017,10,4.9
1386,Joe Mixon,CIN,1,20,49,0,2,2,0,0,4.9,4.9,2017,11,22.5
1402,Joe Mixon,CIN,1,23,114,1,3,3,51,0,22.5,22.5,2017,12,9.7
1674,Joe Mixon,CIN,1,18,96,0,1,1,1,0,9.7,9.7,2017,17,
134,John Kuhn,NO,1,1,3,1,0,0,0,0,6.3,6.3,2016,3,19.2
155,John Kuhn,NO,1,3,5,2,2,2,7,1,19.2,19.2,2016,4,7.5
628,John Kuhn,NO,1,2,4,1,1,1,11,0,7.5,7.5,2016,13,
632,Jonathan Grimes,HOU,1,5,43,0,1,1,15,0,5.8,5.8,2016,13,4.9
841,Jonathan Grimes,HOU,1,8,16,0,5,4,33,0,4.9,4.9,2016,17,
