,name,team,g,rush_att,rush_yd,rush_td,rec_target,rec_rec,rec_yd,rec_td,fp,fpg,season,week,next_fp
457,Bilal Powell,NYJ,1,4,37,0,7,7,52,1,14.9,14.9,2016,10,4.3
590,Bilal Powell,NYJ,1,8,36,0,3,1,7,0,4.3,4.3,2016,12,29.9
651,Bilal Powell,NYJ,1,29,145,2,5,5,34,0,29.9,29.9,2016,14,16.2
710,Bilal Powell,NYJ,1,16,84,0,12,11,78,0,16.2,16.2,2016,15,7.4
784,Bilal Powell,NYJ,1,15,60,0,3,2,14,0,7.4,7.4,2016,16,19.7
808,Bilal Powell,NYJ,1,22,122,0,3,3,15,1,19.7,19.7,2016,17,3.9
894,Bilal Powell,NYJ,1,7,22,0,6,5,17,0,3.9,3.9,2017,1,9.7
972,Bilal Powell,NYJ,1,15,37,1,0,0,0,0,9.7,9.7,2017,3,25.0
1004,Bilal Powell,NYJ,1,21,163,1,5,4,27,0,25.0,25.0,2017,4,3.3
1098,Bilal Powell,NYJ,1,2,5,0,5,4,28,0,3.3,3.3,2017,5,8.3
1167,Bilal Powell,NYJ,1,9,43,0,2,2,40,0,8.3,8.3,2017,7,6.1
1231,Bilal Powell,NYJ,1,14,33,0,3,3,28,0,6.1,6.1,2017,8,7.4
1274,Bilal Powell,NYJ,1,9,74,0,0,0,0,0,7.4,7.4,2017,9,4.6
1438,Bilal Powell,NYJ,1,9,34,0,1,1,12,0,4.6,4.6,2017,12,11.0
1468,Bilal Powell,NYJ,1,18,48,1,3,2,2,0,11.0,11.0,2017,13,10.4
1569,Bilal Powell,NYJ,1,13,44,1,1,0,0,0,10.4,10.4,2017,15,20.5
1603,Bilal Powell,NYJ,1,19,145,1,1,0,0,0,20.5,20.5,2017,16,5.6
1686,Bilal Powell,NYJ,1,13,46,0,2,1,10,0,5.6,5.6,2017,17,
182,Bobby Rainey,NYG,1,4,22,0,9,7,43,0,6.5,6.5,2016,4,7.4
225,Bobby Rainey,NYG,1,5,22,0,6,6,52,0,7.4,7.4,2016,5,2.9
293,Bobby Rainey,NYG,1,6,13,0,3,2,16,0,2.9,2.9,2016,6,
1,C.J. Anderson,DEN,1,20,92,1,5,4,47,1,25.9,25.9,2016,1,15.3
58,C.J. Anderson,DEN,1,20,74,1,5,3,19,0,15.3,15.3,2016,2,4.1
147,C.J. Anderson,DEN,1,14,37,0,4,1,4,0,4.1,4.1,2016,3,11.2
168,C.J. Anderson,DEN,1,19,49,1,1,1,3,0,11.2,11.2,2016,4,6.2
229,C.J. Anderson,DEN,1,11,41,0,4,3,21,0,6.2,6.2,2016,5,7.1
276,C.J. Anderson,DEN,1,10,37,0,5,4,34,0,7.1,7.1,2016,6,16.7
309,C.J. Anderson,DEN,1,16,107,1,0,0,0,0,16.7,16.7,2016,7,8.8
871,C.J. Anderson,DEN,1,20,81,0,3,1,7,0,8.8,8.8,2017,1,27.4
900,C.J. Anderson,DEN,1,25,118,1,3,3,36,1,27.4,27.4,2017,2,4.3
990,C.J. Anderson,DEN,1,8,36,0,2,2,7,0,4.3,4.3,2017,3,11.2
1020,C.J. Anderson,DEN,1,20,95,0,4,4,17,0,11.2,11.2,2017,4,6.1
1182,C.J. Anderson,DEN,1,10,44,0,2,1,17,0,6.1,6.1,2017,7,8.5
1222,C.J. Anderson,DEN,1,15,78,0,1,1,7,0,8.5,8.5,2017,8,5.5
1335,C.J. Anderson,DEN,1,10,54,0,1,1,1,0,5.5,5.5,2017,10,11.6
1367,C.J. Anderson,DEN,1,13,37,1,3,2,19,0,11.6,11.6,2017,11,11.0
1467,C.J. Anderson,DEN,1,15,67,0,7,4,43,0,11.0,11.0,2017,13,7.3
1531,C.J. Anderson,DEN,1,22,48,0,2,2,25,0,7.3,7.3,2017,14,15.8
1560,C.J. Anderson,DEN,1,30,158,0,1,0,0,0,15.8,15.8,2017,15,19.3
1604,C.J. Anderson,DEN,1,16,88,1,9,7,45,0,19.3,19.3,2017,16,6.1
1684,C.J. Anderson,DEN,1,18,61,0,1,0,0,0,6.1,6.1,2017,17,
372,C.J. Prosise,SEA,1,4,23,0,4,4,80,0,10.3,10.3,2016,8,15.3
456,C.J. Prosise,SEA,1,17,66,0,7,7,87,0,15.3,15.3,2016,10,14.1
506,C.J. Prosise,SEA,1,4,76,1,3,2,5,0,14.1,14.1,2016,11,7.4
982,C.J. Prosise,SEA,1,4,9,0,5,3,65,0,7.4,7.4,2017,3,
179,C.J. Spiller,SEA,1,2,12,0,3,2,5,1,7.7,7.7,2016,4,3.5
291,C.J. Spiller,SEA,1,1,-3,0,6,3,38,0,3.5,3.5,2016,6,
137,Cameron Artis-Payne,CAR,1,12,47,0,1,1,11,0,5.8,5.8,2016,3,20.5
204,Cameron Artis-Payne,CAR,1,18,85,2,0,0,0,0,20.5,20.5,2016,5,12.8
1309,Cameron Artis-Payne,CAR,1,7,68,1,0,0,0,0,12.8,12.8,2017,10,
4,Carlos Hyde,SF,1,23,88,2,3,2,5,0,21.3,21.3,2016,1,5.2
86,Carlos Hyde,SF,1,14,34,0,3,3,18,0,5.2,5.2,2016,2,22.5
106,Carlos Hyde,SF,1,21,103,2,1,1,2,0,22.5,22.5,2016,3,13.9
163,Carlos Hyde,SF,1,15,74,1,1,1,5,0,13.9,13.9,2016,4,17.4
207,Carlos Hyde,SF,1,22,78,1,6,6,36,0,17.4,17.4,2016,5,5.2
284,Carlos Hyde,SF,1,14,52,0,0,0,0,0,5.2,5.2,2016,6,11.0
518,Carlos Hyde,SF,1,19,86,0,3,3,24,0,11.0,11.0,2016,11,15.5
558,Carlos Hyde,SF,1,13,65,0,6,5,30,1,15.5,15.5,2016,12,9.8
618,Carlos Hyde,SF,1,20,92,0,2,1,6,0,9.8,9.8,2016,13,26.0
652,Carlos Hyde,SF,1,17,193,0,1,1,7,1,26.0,26.0,2016,14,7.7
731,Carlos Hyde,SF,1,13,71,0,3,1,6,0,7.7,7.7,2016,15,12.2
770,Carlos Hyde,SF,1,13,38,0,3,3,24,1,12.2,12.2,2016,16,7.7
876,Carlos Hyde,SF,1,9,45,0,6,6,32,0,7.7,7.7,2017,1,14.3
